id;address_1;address_2;city;postcode;country
1;new;self-assured gosh conflate;Port Kearaworth;"ohbLM";Co
2;instead medical process;triumphantly;Fort Axelburgh;"o7";Gu
3;carefully rehospitalisation coolly;after monthly brr;Abdulfort;"SnPqz2";Gr
4;gregarious;greed tax;West Imeldaberg;"HGXc";Un
5;before;yum connect responsible;Melbourne;"pilc4";De
6;easy;hence yawn;Santa Barbara;"A";Ne
7;supposing greedily;suspiciously finally yahoo;Kundefield;"sCpc";Fr
8;deface ick within;hungrily;Greysonstad;"9D";Pa
9;swim worrisome journalist;happy-go-lucky;Largo;"hx7";Un
10;freely circa;healthily;West Yoshikoberg;"0c2u";We
