id;order_date;shipped_date;status;total_amount;shipping_cost;tracking_number
1;2024-09-09T17:26:27;2024-09-10T00:31:04;while;23018.23;15367.51;distant
2;2024-09-09T17:26:14;2024-09-10T10:40:07;request nonstop pfft;29969.33;31836.34;reassess huzzah gah
3;2024-09-10T15:18:14;2024-09-10T09:36:07;swing woot stable;28788.06;23145.71;searchingly potty
4;2024-09-10T02:30:33;2024-09-10T01:14:30;fantastic obedient;26031.78;12077.74;unless
5;2024-09-10T13:01:49;2024-09-10T15:52:00;since;6424.38;31625.7;indeed white
6;2024-09-09T21:50:42;2024-09-09T21:36:25;yippee laugh;8471.59;23619.78;altruistic furthermore fiercely
7;2024-09-10T01:34:59;2024-09-10T06:17:17;borrower congressman;11271.54;20234.26;diaper enormously
8;2024-09-09T23:07:50;2024-09-10T11:20:33;merrily even concerning;3837.04;24178.03;yet how
9;2024-09-10T12:56:18;2024-09-10T08:57:45;because;24089.12;7184.86;inch
10;2024-09-10T01:10:17;2024-09-10T12:01:55;blah meaningfully prime;28774.91;8772.46;cavernous
