id;title;keywords;description;rating;price;quantity_in_stock;status;weight;dimensions;date_added;date_modified
1;bread;acclimatise;rubberneck whenever;1;5406.12;10485;IN_STOCK;24051.91;ick although likewise;2024-09-09T19:50:49;2024-09-10T09:26:55
2;stupendous oily igloo;iconify rephrase;cluttered forenenst short;5;3739.79;15812;DISCONTINUED;11153.95;before armchair;2024-09-09T20:57:23;2024-09-10T12:16:52
3;smoothly scratchy;lest youthfully tauten;whoa courageously blag;1;703.55;24678;OUT_OF_STOCK;3591.91;pharmacopoeia suspiciously majestically;2024-09-10T03:24:24;2024-09-10T01:14:31
4;meanwhile so theorise;since willfully fondly;farm yellow pantry;3;17720.91;15566;IN_STOCK;32134.11;validate who;2024-09-10T10:58:13;2024-09-09T21:17:46
5;helpfully;paper;propXXXXXX;0;12513.49;29067;OUT_OF_STOCK;6148.03;sharply;2024-09-10T08:44:22;2024-09-10T15:09:01
6;gobble overconfidently;during;golden fabulous who;4;11429.19;21328;OUT_OF_STOCK;7598.71;prevail paralyze;2024-09-10T11:52:24;2024-09-10T10:55:57
7;modulo tritone beverage;gee terribly so;packageXXX;2;1524.04;22926;IN_STOCK;28940.5;humming when;2024-09-09T18:26:27;2024-09-10T08:16:33
8;trifling;excluding hybridisation sailing;despise oh unimpressively;4;8315.87;19724;DISCONTINUED;23888.49;scratchy lively stifle;2024-09-09T18:25:08;2024-09-10T05:26:53
9;flippant occasional gee;gleefully and;along until;2;2884.82;770;DISCONTINUED;6908.71;numb review rupture;2024-09-10T03:48:27;2024-09-10T10:57:49
10;anticodon request;midst sweet moose;forestall via quizzical;1;144.2;20085;DISCONTINUED;662.58;bleakly;2024-09-10T04:23:42;2024-09-10T15:48:54
